strang,  range
controlable,  controllable
controvercy,  controversy 
controversey,  controversy
conviently,  conveniently
cooly,  coolly 
corderoy,  corduroy 
correspondance,  correspondence
corrigated,  corrugated 
coud,  could
countin,  counting
countriman,  countryman 
craftman,  craftsman 
curiousity,  curiosity
curicculum,  curriculum 
customery,  customary 
synical,  cynical
darlin,  darling 
dicidely,  decidedly
deam,  deem
definately,  definitely 
definatly,  definitely
deliguent,  delinquent
delinquint,  delinquent 
dilirious,  delirious
delvin,  delving 
denyin,  denying 
dependant,  dependent
depeciation,  depreciation 
descendent,  descendant 
discription,  description 
dispair,  despair 
duece,  deuce
devellope,  develop
developement,  development
dictionery,  dictionary 
dignatary,  dignitary
dilapadated,  dilapidated
diminsh,  diminish
dinning,  dining 
diptheria,  diphtheria 
dessapoint,  disappoint 
disapoint,  disappoint
dissapoint,  disappoint 
dissappoint,  disappoint
dissappointment,  disappointment 
disasterous,  disastrous 
discpline,  discipline 
discreet,  discrete
dispell,  dispel
disippate,  dissipate
devine,  divine 
docter,  doctor
docters,  doctors
dormat,  dormitory 
doubte,  doubt
drasticly,  drastically 
drawin,  drawing
dreamin,  dreaming
drewe,  drew
droped,  dropped
drunkeness,  drunkenness 
dutchess,  duchess
duely,  duly 
durin,  during
ernest,  earnest 
ecstacy,  ecstasy
effectinge,  effecting 
affeminate,  effeminate
effervesent,  effervescent 
effeciency,  efficiency
eisenhhower,  eisenhower 
eligble,  eligible 
elliminate,  eliminate 
illiminate,  eliminate
embarass,  embarrass 
embarassment,  embarrassment 
embarrasment,  embarrassment 
enclyclopedia,  encyclopedia 
encylopedia,  encyclopedia
endorsment,  endorsement
emeny,  enemy
egnineers,  engineers
enlargd,  enlarged
enterteyned,  entertained
equipt,  equipped 
equivelant,  equivalent 
estimed,  esteemed
evrey,  every
exagerate,  exaggerate
exageration,  exaggeration 
examiantion,  examination
examinin,  examining
excelence,  excellence 
excercises,  exercises
exhilirating,  exhilarating 
exorted,  exhorted
existance,  existence
exhorbitant,  exorbitant 
experiance,  experience
explisitly,  explicitly
exquiset,  exquisite 
exqusite,  exquisite 
eying,  eyeing 
facilatate,  facilitate
facinating,  fascinating 
fatiging,  fatiguing
feare,  fear 
febuary,  february
fictitous,  fictitious
fiedler,  fielder
firey,  fiery
fieghting,  fighting
philipinoes,  filipinos 
filthness,  filthiness 
finaly,  finally
flamable,  flammable 
florished,  flourished 
foriegn,  foreign 
fortright,  forthright
fourty,  forty 
foxx,  fox
frescoes,  frescos
freind,  friend
fullfil,  fulfill 
fundemental,  fundamental
fundementally,  fundamentally 
gardner,  gardener
guage,  gauge
generousity,  generosity 
genious,  genius
gastly,  ghastly 
knawing,  gnawing
gonne,  gone 
goverment,  government
grabbin,  grabbing 
grammer,  grammar 
grammophon,  gramophone
granduer,  grandeur 
greatful,  grateful
grievious,  grievous
grille,  grill
gaurantee,  guarantee 
guarenteed,  guaranteed
gaurdian,  guardian
guardien,  guardian
gutteral,  guttural
hammerskjold,  hammarskjold
hande,  hand 
hankerchief,  handkerchief 
hansome,  handsome
harrass,  harass 
haveing,  having
heartrendering,  heartrending
heighth,  height 
hienous,  heinous
hemorrage,  hemorrhage 
heydey,  heyday
himselfe,  himself 
hinderance,  hindrance 
hinderence,  hindrance
humly,  humbly 
huricane,  hurricane 
hygeine,  hygiene
indentified,  identified
idiocyncracy,  idiosyncrasy 
imaganation,  imagination 
imagnation,  imagination
immitation,  imitation 
immediatley,  immediately 
immencely,  immensely 
immensly,  immensely 
impedence,  impedance
impressario,  impresario 
insense,  incense 
incesant,  incessant 
incidently,  incidentally
incompatability,  incompatibility 
inconvience,  inconvenience 
incorigible,  incorrigible
incredable,  incredible 
indefinate,  indefinite
independance,  independence
inditement,  indictment
indispensible,  indispensable
inevitible,  inevitable
infalable,  infallible
infinate,  infinite 
ingratitoode,  ingratitude
inocuous,  innocuous 
innoculate,  inoculate 
insistance,  insistence 
instantanous,  instantaneous 
insted,  instead 
intersede,  intercede
interferred,  interfered
intereference,  interference
interupted,  interrupted
invarably,  invariably 
irrevelant,  irrelevant
irrepairable,  irreparable
irristible,  irresistible
itimized,  itemized
jacknife,  jackknife 
jagaur,  jaguar
japaneze,  japanese 
jaundise,  jaundice
jelousy,  jealousy
jeprodise,  jeopardize 
judgement,  judgment 
kaleidescope,  kaleidoscope
kaliedoscope,  kaleidoscope
kapock,  kapok 
kahki,  khaki 
kimona,  kimono 
kindergarden,  kindergarten 
kitchin,  kitchen 
knicknacks,  knickknacks 
labelled,  labeled 
labortory,  laboratory 
labratory,  laboratory
langauge,  language 
leaway,  leeway 
leasure,  leisure 
liesure,  leisure 
levelled,  leveled
libary,  library
libray,  library 
lisence,  license 
leutenant,  lieutenant 
linolium,  linoleum 
liquified,  liquefied
liquify,  liquefy
livlihood,  livelihood 
loadstone,  lodestone
lodgement,  lodgment
lonley,  lonely 
magnificant,  magnificent
magnificient,  magnificent
magnigicient,  magnificent
maintainance,  maintenance
mamoth,  mammoth
managment,  management
manuveur,  maneuver 
manufacturies,  manufactories 
masterpice,  masterpiece 
materiel,  material
mathamatics,  mathematics 
mathmatics,  mathematics
matress,  mattress 
mattres,  mattress 
mauldin,  maudlin 
ment,  meant
medecine,  medicine 
meetin,  meeting
mercanery,  mercenary 
merchandize,  merchandise
merchantment,  merchantmen 
meterological,  meteorological
metropolitian,  metropolitan
millionnaire,  millionaire
minature,  miniature 
miscelaneous,  miscellaneous
mischievious,  mischievous
mocassins,  moccasins 
momentus,  momentous 
morgage,  mortgage 
mortgauged,  mortgaged 
murmers,  murmurs 
musnt,  mustnt
mutalate,  mutilate
mithical,  mythical 
nadar,  nadir
naphta,  naphtha 
naptha,  naphtha 
narative,  narrative 
naturaly,  naturally
navagating,  navigating 
necessarially,  necessarily 
necessarilly,  necessarily
neccesary,  necessary 
niagra,  niagara
nickle,  nickel 
nigardly,  niggardly
nintieth,  ninetieth
nintynineth,  ninetyninth 
nocternal,  nocturnal
nonsence,  nonsense
nothwithstanding,  notwithstanding 
nowdays,  nowadays
obliggato,  obbligato
obdirate,  obdurate 
ocassion,  occasion
ocassionaly,  occasionally
occasionly,  occasionally
occassionally,  occasionally
occured,  occurred
occurence,  occurrence
octapus,  octopus 
oddysey,  odyssey
omenous,  ominous
ommision,  omission 
onirous,  onerous 
oppurtunities,  opportunities
oposition,  opposition
oppresser,  oppressor 
opticion,  optician
optitian,  optician
orotario,  oratorio 
ochestra,  orchestra
ordinarilly,  ordinarily 
origen,  origin
orginally,  originally 
origionally,  originally 
owne,  own 
paine,  pain 
pamphalet,  pamphlet 
pamplet,  pamphlet 
phamplet,  pamphlet 
pamplets,  pamphlets
phamplets,  pamphlets
parellel,  parallel
parallysis,  paralysis 
parephernalia,  paraphernalia 
parenthasis,  parenthesis
participal,  participle 
pasttime,  pastime 
paster,  pastor 
paternaty,  paternity 
pavillion,  pavilion 
peasent,  peasant
pecular,  peculiar
pennance,  penance 
pendelum,  pendulum 
pengiuns,  penguins
peninsular,  peninsula 
penitentary,  penitentiary 
percieve,  perceive 
preforation,  perforation 
permisable,  permissible
permissable,  permissible 
perserverance,  perseverance
perseverence,  perseverance 
personality,  personalty
persperation,  perspiration
pursuade,  persuade 
pursuaded,  persuaded
persausion,  persuasion
pertaning,  pertaining
prevaded,  pervaded
pharoahs,  pharaohs 
fase,  phase
faze,  phase 
phenominal,  phenomenal
phenonenon,  phenomenon 
phillipines,  philippines
phisician,  physician
physcian,  physician 
physican,  physician
pickeral,  pickerel 
picnicing,  picnicking 
pittsburg,  pittsburgh 
plaigarism,  plagiarism 
placque,  plaque
playwrite,  playwright
plesant,  pleasant 
poetrie,  poetry 
poisenous,  poisonous 
pondorous,  ponderous 
posess,  possess
posession,  possession
possesion,  possession
posiblities,  possibilities 
possiblities,  possibilities
prarie,  prairie 
preceeding,  preceding
presipice,  precipice 
preferrable,  preferable 
preferance,  preference 
prefered,  preferred
predjudice,  prejudice
predudice,  prejudice 
prejedice,  prejudice 
preperation,  preparation
perserved,  preserved
presumptous,  presumptuous 
prevelant,  prevalent
preventative,  preventive 
prisner,  prisoner 
privelege,  privilege
priviledge,  privilege 
probabley,  probably
proceedure,  procedure 
proffesor,  professor
profer,  proffer 
prominant,  prominent 
promonotory,  promontory 
pronounciation,  pronunciation 
propellor,  propeller
prophesy,  prophecy 
provisons,  provisions 
pseudynom,  pseudonym
psycological,  psychological
publick,  public
publically,  publicly
pumkin,  pumpkin
persue,  pursue
persuer,  pursuer 
persuit,  pursuit 
qualafied,  qualified
quandry,  quandary 
quanties,  quantities
quarrantine,  quarantine 
quarelled,  quarreled
quater,  quarter
questionaire,  questionnaire 
quiscent,  quiescent 
quorem,  quorum
radient,  radiant 
radiater,  radiator 
raize,  raise 
rateing,  rating 
realy,  really 
rebutal,  rebuttal 
receeded,  receded 
reciept,  receipt 
receits,  receipts
reciepts,  receipts
receave,  receive 
recieve,  receive
reciever,  receiver
receptacel,  receptacle
resipient,  recipient
reciprocel,  reciprocal
recon,  reckon 
reclaimation,  reclamation
reccommend,  recommend 
reccommendation,  recommendation
reccomendations,  recommendations 
reccomended,  recommended 
reccommended,  recommended 
recommend,  recommended 
reccomending,  recommending 
reccommending,  recommending
recompence,  recompense 
redundent,  redundant
referance,  reference
refered,  referred 
refering,  referring 
refrigerater,  refrigerator 
regreted,  regretted 
rehabilatate,  rehabilitate 
revelent,  relevant
religous,  religious
rememberance,  remembrance
rendevous,  rendezvous
renagade,  renegade 
renoun,  renown 
repairation,  reparation
repell,  repel 
repitition,  repetition 
represenatives,  representatives
representitives,  representatives
resinded,  rescinded
resevoir,  reservoir 
responsiblity,  responsibility 
restuarant,  restaurant
restauranteur,  restaurateur 
raphsody,  rhapsody
rhuematism,  rheumatism 
rhododrendon,  rhododendron 
ruhbarb,  rhubarb 
rythm,  rhythm
rediculous,  ridiculous
romantick,  romantic 
rumage,  rummage
runing,  running
sabath,  sabbath
sacrement,  sacrament
sacreligious,  sacrilegious 
safty,  safety 
sagatious,  sagacious 
sailer,  sailor 
sanwich,  sandwich 
sanatary,  sanitary 
satisfactary,  satisfactory 
scarsity,  scarcity 
scisors,  scissors
sissers,  scissors 
sieze,  seize 
siezed,  seized
selfe,  self
selle,  sell
semisters,  semesters
seminery,  seminary 
seperate,  separate 
sergant,  sergeant
sheepe,  sheep
sheperd,  shepherd 
silhuette,  silhouette
shippin,  shipping
shouldda,  shoulder
sholders,  shoulders 
showin,  showing 
shrubery,  shrubbery
seige,  siege 
significent,  significant
silke,  silk
similiar,  similar
similtanous,  simultaneous
sincerety,  sincerity
slimest,  slimmest 
smilin,  smiling
socable,  sociable
socal,  social
solmn,  solemn
solomn,  solemn 
sophmore,  sophomore 
sarrority,  sorority
sororiety,  sorority
saught,  sought
sourse,  source
souviner,  souvenir
sovreignty,  sovereignty 
sparcely,  sparsely
speer,  spear 
specificly,  specifically 
speciman,  specimen
speciment,  specimen
specimans,  specimens 
spiritous,  spirituous 
sprinkel,  sprinkle 
startin,  starting
stationery,  stationary
statu,  statue 
stirrin,  stirring
stirups,  stirrups
stomack,  stomach 
strainin,  straining 
straightjacket,  straitjacket 
strategem,  stratagem
stratagy,  strategy
streneous,  strenuous 
strenous,  strenuous 
streched,  stretched 
stubborness,  stubbornness
sububan,  suburban
sucess,  success 
sufficent,  sufficient
sufferage,  suffrage
suger,  sugar 
sueing,  suing
superfical,  superficial
supertendent,  superintendent 
supercede,  supersede 
suplement,  supplement 
supliment,  supplement 
supress,  suppress
suprise,  surprise 
sureptitous,  surreptitious
surounded,  surrounded 
swearinge,  swearing
sylables,  syllables
symetry,  symmetry
synonomous,  synonymous 
systemetically,  systematically 
tasit,  tacit
takin,  taking 
technecally,  technically
televison,  television 
temperment,  temperament
temporarly,  temporarily 
temperary,  temporary 
tendancy,  tendency 
terestial,  terrestrial
terrours,  terrors
thatt,  that
therefor,  therefore 
theaf,  thief 
thinke,  think 
thinkin,  thinking
thourough,  thorough 
thouroughly,  thoroughly 
throughly,  thoroughly 
tobbaco,  tobacco 
tobboganing,  tobogganing 
tonage,  tonnage 
tradegy,  tragedy 
tradgedy,  tragedy 
tranquillity,  tranquility 
tranquility,  tranquillity 
transferrable,  transferable 
transfered,  transferred 
trucculent,  truculent
truley,  truly
tieing,  tying
tyranical,  tyrannical
undoubtably,  undoubtedly 
undoubtly,  undoubtedly 
unequalled,  unequaled
unfortunatly,  unfortunately
universaty,  university 
unmistakeable,  unmistakable 
unparalelled,  unparalleled
untill,  until
useage,  usage
usualy,  usually
usurous,  usurious 
utterence,  utterance 
vacency,  vacancy 
vancancy,  vacancy
vacinnation,  vaccination 
vaccilate,  vacillate
vairous,  various 
vegatable,  vegetable 
vengance,  vengeance 
verticle,  vertical 
vise,  vice
vituals,  victuals
villify,  vilify 
villian,  villain
violance,  violence 
vioiln,  violin 
visable,  visible
vitamines,  vitamins 
vouture,  voucher
waggin,  wagging 
wagish,  waggish 
wedensday,  wednesday 
wensday,  wednesday
weede,  weed 
weigth,  weight
wierd,  weird
wheather,  whether
whitch,  which 
whoe,  who 
withold,  withhold 
worshipping,  worshiping
yahct,  yacht
yaht,  yacht
yerned,  yearned
yoman,  yeoman
yeild,  yield 
zelous,  zealous
zeenith,  zenith
ablity,  ability 
academicly,  academically
acept,  accept
acepted,  accepted 
acess,  access 
accessability,  accessibility 
accesing,  accessing 
acompaning,  accompanying
acording,  according 
acount,  account 
acounts,  accounts
acumulated,  accumulated
